invoice_id,approver,approval_status,approval_date
INV0000001,EMP0064,Approved,2025-05-25 07:53:42.838248
INV0000002,EMP0109,Approved,2026-02-16 07:53:42.838248
INV0000003,EMP0029,Approved,2026-07-05 07:53:42.838248
INV0000004,EMP0088,Approved,2025-05-01 07:53:42.838248
INV0000005,EMP0069,Approved,2025-08-27 07:53:42.838248
INV0000006,EMP0048,Approved,2025-06-06 07:53:42.838248
INV0000007,EMP0099,Approved,2026-04-02 07:53:42.838248
INV0000008,EMP0011,Approved,2026-06-15 07:53:42.838248
INV0000009,EMP0082,Approved,2024-10-07 07:53:42.838248
INV0000010,EMP0117,Approved,2024-10-25 07:53:42.838248
INV0000011,EMP0077,Approved,2025-09-28 07:53:42.838248
INV0000012,EMP0116,Approved,2025-12-27 07:53:42.838248
INV0000013,EMP0056,Approved,2025-08-18 07:53:42.838248
INV0000014,EMP0057,Approved,2025-06-21 07:53:42.838248
INV0000015,EMP0069,Approved,2025-06-15 07:53:42.838248
INV0000016,EMP0100,Approved,2024-09-25 07:53:42.838248
INV0000017,EMP0078,Approved,2026-04-18 07:53:42.838248
INV0000018,EMP0068,Approved,2026-01-03 07:53:42.838248
INV0000019,EMP0051,Approved,2025-01-23 07:53:42.838248
INV0000020,EMP0021,Approved,2025-07-03 07:53:42.838248
INV0000021,EMP0014,Approved,2025-03-07 07:53:42.838248
INV0000022,EMP0046,Approved,2024-12-05 07:53:42.838248
INV0000023,EMP0083,Approved,2025-01-27 07:53:42.838248
INV0000024,EMP0073,Approved,2026-03-17 07:53:42.838248
INV0000025,EMP0100,Approved,2026-05-11 07:53:42.838248
INV0000026,EMP0088,Approved,2025-01-06 07:53:42.838248
INV0000027,EMP0095,Approved,2025-10-27 07:53:42.838248
INV0000028,EMP0052,Approved,2026-06-06 07:53:42.838248
INV0000029,EMP0002,Approved,2026-04-12 07:53:42.838248
INV0000030,EMP0111,Approved,2024-12-10 07:53:42.838248
INV0000031,EMP0054,Approved,2024-09-16 07:53:42.838248
INV0000032,EMP0098,Approved,2025-10-04 07:53:42.838248
INV0000033,EMP0096,Approved,2025-04-16 07:53:42.838248
