invoice_id,vendor_id,invoice_date,invoice_amount,currency
INV0000001,V00158,2025-05-23 07:53:42.838248,25411,USD
INV0000002,V00121,2026-02-14 07:53:42.838248,117534,USD
INV0000003,V00105,2026-07-03 07:53:42.838248,111017,USD
INV0000004,V00173,2025-04-29 07:53:42.838248,114495,USD
INV0000005,V00051,2025-08-25 07:53:42.838248,35192,USD
INV0000006,V00112,2025-06-04 07:53:42.838248,10467,USD
INV0000007,V00022,2026-03-31 07:53:42.838248,50055,USD
INV0000008,V00247,2026-06-13 07:53:42.838248,125611,USD
INV0000009,V00286,2024-10-05 07:53:42.838248,99857,USD
INV0000010,V00142,2024-10-23 07:53:42.838248,119481,USD
INV0000011,V00195,2025-09-26 07:53:42.838248,68783,USD
INV0000012,V00332,2025-12-25 07:53:42.838248,109975,USD
INV0000013,V00332,2025-08-16 07:53:42.838248,25616,USD
INV0000014,V00126,2025-06-19 07:53:42.838248,86336,USD
INV0000015,V00176,2025-06-13 07:53:42.838248,63083,USD
INV0000016,V00023,2024-09-23 07:53:42.838248,49074,USD
INV0000017,V00132,2026-04-16 07:53:42.838248,138820,USD
INV0000018,V00198,2026-01-01 07:53:42.838248,34891,USD
INV0000019,V00228,2025-01-21 07:53:42.838248,138680,USD
INV0000020,V00105,2025-07-01 07:53:42.838248,96586,USD
INV0000021,V00133,2025-03-05 07:53:42.838248,43716,USD
INV0000022,V00060,2024-12-03 07:53:42.838248,31949,USD
INV0000023,V00148,2025-01-25 07:53:42.838248,72100,USD
INV0000024,V00113,2026-03-15 07:53:42.838248,50481,USD
INV0000025,V00259,2026-05-09 07:53:42.838248,45073,USD
INV0000026,V00132,2025-01-04 07:53:42.838248,24753,USD
INV0000027,V00337,2025-10-25 07:53:42.838248,134529,USD
INV0000028,V00045,2026-06-04 07:53:42.838248,122677,USD
INV0000029,V00055,2026-04-10 07:53:42.838248,89727,USD
INV0000030,V00315,2024-12-08 07:53:42.838248,87873,USD
INV0000031,V00050,2024-09-14 07:53:42.838248,120281,USD
INV0000032,V00143,2025-10-02 07:53:42.838248,127924,USD
INV0000033,V00310,2025-04-14 07:53:42.838248,84382,USD
INV0000034,V00290,2025-07-02 07:53:42.838248,19725,USD
INV0000035,V00280,2024-09-20 07:53:42.838248,137995,USD
INV0000036,V00055,2025-10-22 07:53:42.838248,86371,USD
INV0000037,V00138,2024-08-14 07:53:42.838248,123466,USD
INV0000038,V00064,2025-07-19 07:53:42.838248,19913,USD
INV0000039,V00125,2024-09-23 07:53:42.838248,80255,USD
INV0000040,V00184,2026-03-28 07:53:42.838248,28670,USD
INV0000041,V00093,2025-08-04 07:53:42.838248,137924,USD
INV0000042,V00273,2026-02-21 07:53:42.838248,126297,USD
INV0000043,V00101,2025-10-10 07:53:42.838248,15753,USD
INV0000044,V00035,2025-06-01 07:53:42.838248,54345,USD
INV0000045,V00147,2025-12-02 07:53:42.838248,129683,USD
INV0000046,V00005,2024-09-08 07:53:42.838248,44547,USD
INV0000047,V00345,2024-10-20 07:53:42.838248,123101,USD
INV0000048,V00011,2024-10-01 07:53:42.838248,95030,USD
INV0000049,V00282,2026-04-29 07:53:42.838248,137264,USD
INV0000050,V00005,2024-08-16 07:53:42.838248,50235,USD
INV0000051,V00140,2026-07-01 07:53:42.838248,69944,USD
INV0000052,V00332,2025-09-29 07:53:42.838248,119755,USD
INV0000053,V00092,2025-12-24 07:53:42.838248,142381,USD
INV0000054,V00032,2025-07-14 07:53:42.838248,46614,USD
INV0000055,V00223,2025-04-22 07:53:42.838248,102740,USD
INV0000056,V00179,2025-08-29 07:53:42.838248,106558,USD
INV0000057,V00310,2026-06-02 07:53:42.838248,93700,USD
INV0000058,V00079,2026-04-14 07:53:42.838248,18727,USD
INV0000059,V00243,2024-09-12 07:53:42.838248,92726,USD
INV0000060,V00195,2024-10-11 07:53:42.838248,91426,USD
INV0000061,V00024,2025-04-23 07:53:42.838248,106335,USD
INV0000062,V00349,2026-05-10 07:53:42.838248,71059,USD
INV0000063,V00069,2025-06-13 07:53:42.838248,44419,USD
INV0000064,V00063,2026-02-23 07:53:42.838248,26365,USD
INV0000065,V00020,2025-06-30 07:53:42.838248,42074,USD
INV0000066,V00078,2026-05-09 07:53:42.838248,86325,USD
INV0000067,V00025,2024-11-16 07:53:42.838248,107749,USD
INV0000068,V00012,2025-05-20 07:53:42.838248,27208,USD
INV0000069,V00031,2026-04-26 07:53:42.838248,103744,USD
INV0000070,V00188,2024-11-14 07:53:42.838248,91108,USD
INV0000071,V00230,2024-10-10 07:53:42.838248,142990,USD
INV0000072,V00209,2025-12-09 07:53:42.838248,115993,USD
INV0000073,V00043,2024-07-25 07:53:42.838248,99851,USD
INV0000074,V00346,2025-05-19 07:53:42.838248,100052,USD
