payment_id,invoice_id,payment_amount,payment_date
fadc20e0-2d5,INV0000001,25411,2025-06-24 07:53:42.838248
93d35070-040,INV0000002,117534,2026-03-03 07:53:42.838248
4c7441b6-3d7,INV0000003,111017,2026-07-21 07:53:42.838248
0565b7b1-8b9,INV0000004,114495,2025-06-03 07:53:42.838248
dfa3d815-1ea,INV0000005,35192,2025-09-21 07:53:42.838248
54cd33d8-30c,INV0000006,10467,2025-07-15 07:53:42.838248
d42c9d0b-882,INV0000007,50055,2026-05-07 07:53:42.838248
d175fcf8-a92,INV0000008,125611,2026-07-05 07:53:42.838248
6d6d4e28-ceb,INV0000009,99857,2024-11-16 07:53:42.838248
7dc68f70-f9c,INV0000010,119481,2024-11-02 07:53:42.838248
d7568d12-84b,INV0000011,68783,2025-10-16 07:53:42.838248
db56de62-dd9,INV0000012,109975,2026-02-02 07:53:42.838248
fefaec97-3b2,INV0000013,25616,2025-09-20 07:53:42.838248
1b3926ae-3d4,INV0000014,86336,2025-07-27 07:53:42.838248
cd73f485-f70,INV0000015,63083,2025-07-19 07:53:42.838248
0ee09c84-217,INV0000016,49074,2024-09-28 07:53:42.838248
ad62bea4-28e,INV0000017,138820,2026-04-28 07:53:42.838248
44dba45f-7f4,INV0000018,34891,2026-02-10 07:53:42.838248
877d8e05-1a7,INV0000019,138680,2025-02-28 07:53:42.838248
948d5d7f-687,INV0000020,96586,2025-07-11 07:53:42.838248
41ed7f96-86f,INV0000021,43716,2025-04-19 07:53:42.838248
7808fd00-a66,INV0000022,31949,2024-12-13 07:53:42.838248
e7f19157-03f,INV0000023,72100,2025-02-06 07:53:42.838248
b2794a00-f4f,INV0000024,50481,2026-04-03 07:53:42.838248
7275d8ef-b3a,INV0000025,45073,2026-05-28 07:53:42.838248
e8c6d45a-741,INV0000026,24753,2025-02-08 07:53:42.838248
4055a078-e15,INV0000027,134529,2025-12-08 07:53:42.838248
1a6307e3-2b6,INV0000028,122677,2026-06-29 07:53:42.838248
2358cce8-ec5,INV0000029,89727,2026-04-25 07:53:42.838248
c9c9675a-4ff,INV0000030,87873,2024-12-26 07:53:42.838248
193f0c2d-8a4,INV0000031,120281,2024-10-01 07:53:42.838248
d6b1a579-bf4,INV0000032,127924,2025-10-13 07:53:42.838248
075de403-167,INV0000033,84382,2025-05-06 07:53:42.838248
