vendor_id,vendor_name,bank_account,country,vendor_type
V00001,Greene-Garcia,1000333752,India,IT
V00002,Gonzalez-Mann,1000517821,Germany,Industrial
V00003,Cole-Johnson,1000172792,Germany,Industrial
V00004,Davis and Sons,1000772642,UK,Services
V00005,Pope-Klein,1000812526,UK,Industrial
V00006,Silva PLC,1000128941,India,Industrial
V00007,"Hicks, Sloan and Ramirez",1000287241,UK,Industrial
V00008,"Parker, Burns and Higgins",1000140115,India,Services
V00009,Pearson-Smith,1000462479,Germany,Services
V00010,Kirby-Dillon,1000735656,UK,Consulting
V00011,Morgan Inc,1000503906,UK,IT
V00012,Combs-Faulkner,1000367095,India,Services
V00013,Foster-Bell,1000101773,UK,IT
V00014,"Pena, Lawson and Adams",1000481913,USA,Consulting
V00015,Clarke-Mcpherson,1000796503,Germany,Industrial
V00016,Gilmore-Johnson,1000795612,India,Industrial
V00017,Gardner-Lopez,1000631756,Germany,Services
V00018,Carrillo PLC,1000442027,USA,Industrial
V00019,Jefferson-Ford,1000681343,Singapore,IT
V00020,"Ellison, Schneider and Gomez",1000540869,USA,IT
V00021,"Mann, Reed and Green",1000745414,UK,Industrial
V00022,Gibbs-Davis,1000525800,UK,Consulting
V00023,Thompson PLC,1000418635,Germany,IT
V00024,Cortez-Rogers,1000550770,UK,Industrial
V00025,Caldwell-Wu,1000587575,USA,Services
V00026,"Orr, Phillips and Kim",1000808446,Singapore,Services
V00027,Wells-Salazar,1000932291,Singapore,Consulting
V00028,Peters-Lutz,1000397571,UK,Industrial
V00029,"Nguyen, Gray and Walsh",1000197923,Singapore,Industrial
V00030,Weaver and Sons,1000335552,Singapore,IT
V00031,"Ramos, Pham and Landry",1000125611,India,IT
V00032,Rivera Inc,1000598216,UK,Consulting
V00033,Mendoza-Ellis,1000577538,USA,IT
V00034,Powell and Sons,1000853240,USA,Services
V00035,Klein Ltd,1000519066,Singapore,IT
V00036,Mcgrath-Wood,1000787926,India,Consulting
V00037,"Watson, Kennedy and Richardson",1000916232,USA,IT
V00038,Campbell-Wolf,1000284430,UK,Services
V00039,Mayer LLC,1000152657,UK,IT
V00040,Clark Group,1000989545,India,Services
