invoice_id,vendor_id,invoice_date,invoice_amount,currency,duplicate_payment,invoice_split,shared_bank,vendor_similarity,approval_override,communication,risk_score,risk_level,reason,bank_account,case_id
INV0008339,V00203,2025-03-30 07:53:42.838248,87766,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000504832,CASE00001
INV0006504,V00171,2025-06-06 07:53:42.838248,137176,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000449499,CASE00002
INV0002279,V00214,2025-09-17 07:53:42.838248,69692,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000761820,CASE00003
INV0006231,V00203,2025-10-05 07:53:42.838248,95797,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000504832,CASE00004
INV0006935,V00281,2024-08-04 07:53:42.838248,145061,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000171942,CASE00005
INV0001404,V00099,2025-08-20 07:53:42.838248,110061,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000587455,CASE00006
INV0000630,V00203,2026-06-03 07:53:42.838248,53690,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000504832,CASE00007
INV0018015,V00295,2025-11-22 07:53:42.838248,61888,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000580292,CASE00008
INV0001270,V00171,2026-05-16 07:53:42.838248,139090,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000449499,CASE00009
INV0026143,V00214,2025-07-12 07:53:42.838248,131410,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000761820,CASE00010
INV0020801,V00069,2025-12-22 07:53:42.838248,107566,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000584125,CASE00011
INV0020804,V00295,2024-10-27 07:53:42.838248,127708,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000580292,CASE00012
INV0018740,V00262,2024-09-23 07:53:42.838248,117225,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000766269,CASE00013
INV0025871,V00262,2025-07-30 07:53:42.838248,55771,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000766269,CASE00014
INV0022276,V00214,2025-06-18 07:53:42.838248,107729,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000761820,CASE00015
INV0007805,V00214,2026-05-31 07:53:42.838248,133439,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000761820,CASE00016
INV0006903,V00006,2025-10-15 07:53:42.838248,93446,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000128941,CASE00017
INV0005431,V00239,2025-03-29 07:53:42.838248,142739,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000913423,CASE00018
INV0024322,V00239,2026-06-22 07:53:42.838248,70828,USD,1,0,0,1,1,1,95,Critical,"Duplicate Payment, Vendor Alias, Communication, Approval Override",1000913423,CASE00019
